project_code;project_name;studio
2012602;CLI ABACA HOTEL ID - BOH REPLANNING 2;STUDIO 7
2012603;CLI ABACA HOTEL ID - FOH DESIGN REVISIONS;STUDIO 7
2012604;CLI ABACA HOTEL ID - ADDITIONAL GUEST UNIT TYPES;STUDIO 7
2012605;CLI ABACA HOTEL ID - DESIGN REVISIONS AND PATISSERIE DESIGN;STUDIO 7
2216302;ARUP PROJECT LUNA - 3D VIDEO WALKTHROUGH;STUDIO 6
23186;PROJECT PHOENIX MP;STUDIO 4
23203;FNG LANCASTER ENCLAVE 2 - PACKAGE 3;STUDIO 5
23195;ADMU CENTRAL ADMIN BLDG.;STUDIO 2
2206001;FERENZO PH 6 AUREO - ADJUSTED BUILDING HEIGHT;STUDIO 5
1817231;NEW SENATE BUILDING - RDAED FOR 7TH TO 11TH FLOORS (PHASE 2);STUDIO 5
23234;FOUR WEST AND FIVE WEST AEROPARK;STUDIO 4
22110;UST GENSAN SCIENCE BUILDING;STUDIO 1
23199;CAPE CORAL CONCEPT;STUDIO 1
23243;38 PARK AVENUE PHASE 2;STUDIO 3
23006;AEON BLEU - TOWER 5;STUDIO 5
1926104;PROJECT ELURIA - INTERIOR DOCUMENTATION;STUDIO 5
1826001;PARKFORD SUITES – 1ST CA EXTENSION;STUDIO 3
24008;JPMC EMBASSY TOWER 1 TEST FIT;STUDIO 8
24009;JPMC EMBASSY TOWER 3 TEST FIT;STUDIO 7
2212801;MYNT OFFICE FIT OUT - BOARDROOM RENOVATION;STUDIO 7
24012;OKADA MP MSRF0000;STUDIO 6
24013;ADB LEVEL 4;STUDIO 7
23229;CALUYA MUNICIPAL HALL ID;STUDIO 7
2309703;AMANI TOWER - TIA;STUDIO 6
23155;THE FORT REDEVELOPMENT MP;STUDIO 1
1909904;PROJECT AZUELA - PODIUM RE-PLANNING;STUDIO 3
24001;THE SERENE ALABANG;STUDIO 3
2107402;BT PROJECT GENESIS ID & EGD - GUESTROOM TYPES DEV'T;STUDIO 7
2107403;BT PROJECT GENESIS ID & EGD - RESIDENTIAL UNIT TYPES DEV'T;STUDIO 7
2107404;BT PROJECT GENESIS ID & EGD - BI-LEVEL PENTHOUSE UNIT DEV'T;STUDIO 7
2107405;BT PROJECT GENESIS ID & EGD - PREVIOUS ATRIUM FLOORS UNIT DEV'T;STUDIO 7
24021;BANYAN TREE - GUESTROOM MOCK-UP;STUDIO 7
2309702;AMANI TOWER – FAÇADE & BUILDING MAINTENANCE UNIT;STUDIO 6
2309704;AMANI TOWER - SITE SURVEYING;STUDIO 6
1920401;*BGC WESTGATE PARKING - TUNNEL DESIGN;STUDIO 1
23237;LANDMARK MANILA BAY - ID;STUDIO 8
24016;MYNT EGD;STUDIO 9
1926107;PROJECT ELURIA - BIM ATTENDANCE;STUDIO 5
1926109;PROJECT ELURIA - RESIDENTIAL FINISHES RENDER;STUDIO 5
2206002;FHDC PH6 AUREO - ADDITIONAL DETAILED DESIGN PACKAGE;STUDIO 5
24024;BULIHAN CIRCLE CENTRAL PARK;STUDIO 5
2309706;AMANI TOWER - LIGHTING DESIGN;STUDIO 6
2309701;AMANI TOWER - LANDSCAPE;STUDIO 6
1506820;CALLISTO TOWER 1 - 6TH CA EXTENSION;STUDIO 4
1506821;CALLISTO TOWER 2 - 6TH CA EXTENSION;STUDIO 4
22137;PROJECT M;STUDIO 2
2309705;AMANI TOWER - ACOUSTIC AND SECURITY DESIGN;STUDIO 6
23216;BWDC RESIDENTIAL TOWER ID;STUDIO 8
2309707;AMANI TOWER - WIND TUNNEL TESTING;STUDIO 6
1926106;PROJECT ELURIA - GF, 2F, 9F, AND 10F LAYOUT REVISIONS;STUDIO 5
2308601;FROSCH IFC - LIGHTING;STUDIO 8
23236;BENCH HQ - ID BIM;STUDIO 4
1711511;ONE VERTIS PLAZA - ARCHITECTURAL CA EXTENSION;STUDIO 1
24033;W SIXTH CONVERSION TEST FIT;STUDIO 3
2213701;PROJECT M - ADDITIONAL RENDERS;STUDIO 2
2309709;AMANI TOWER - EDGE CONSULTANCY;STUDIO 6
1817232;NEW SENATE BUILDING – SENATORS’ OFFICES ID;STUDIO 5
